"Year","Make","Model","Model Series","Exterior Color","Interior Color","Grade","Vda","Mileage","Buy Now Price","VIN","Due Location Name","City","State","Zip","Early Access Est Available On"
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","2.7","888.00","12131","20200.00","1G1FY6S00P4127944","AUCTION Manheim Palm Beach - TH","West Palm Beach","FL","33411",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.5","0.00","7596","21000.00","1G1FY6S04P4152507","AUCTION Manheim Pensacola - T","Pensacola","FL","32505",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","0.00","17486","22000.00","1G1FY6S00P4143819","RETAIL PITTSBURGH #161","Coraopolis","PA","15108",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.6","0.00","12890","20600.00","1G1FY6S04P4142818","AUCTION Manheim New England - T","North Dighton","MA","02764",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","2.8","1.00","5003","20200.00","1G1FY6S0XP4153113","AUCTION Manheim New England - T","North Dighton","MA","02764",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","0.00","22147","19600.00","1G1FY6S05P4152368","RHP AP FT. LAUDERDALE","Dania Beach","FL","33004",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","","7076.00","18282","19900.00","1G1FY6S04P4144584","UBER DES PLAINES IL","Des Plaines","IL","60018",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.7","3467.00","14213","20500.00","1G1FY6S0XP4147182","AUCTION Manheim Palm Beach - TH","West Palm Beach","FL","33411",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","4214.00","23344","19400.00","1G1FY6S04P4152717","AUCTION Manheim Statesville - M","Statesville","NC","28625",""
"2023","CHEVROLET","BOLT EUV","LT","","BLA","4.5","0.00","4634","21200.00","1G1FY6S09P4152891","AUCTION Manheim New Orleans - W","Slidell","LA","70460",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.4","0.00","15316","20300.00","1G1FY6S09P4152874","AUCTION Manheim Detroit - TH","Carleton","MI","48117",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.1","0.00","13921","20400.00","1G1FY6S09P4150963","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","","5703.00","13227","20200.00","1G1FY6S08P4152834","UBER DES PLAINES IL","Des Plaines","IL","60018",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","2866.00","22624","19600.00","1G1FY6S08P4142336","ATLANTA AP","Atlanta","GA","30337",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","4.4","0.00","10256","20600.00","1G1FY6S04P4143290","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","","BLA","","2627.00","37945","18600.00","1G1FY6S0XP4150938","","","","07114",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.8","1760.00","13161","20600.00","1G1FY6S00P4129886","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.6","2667.00","21285","20100.00","1G1FY6S01P4147491","AUCTION Manheim Detroit - TH","Carleton","MI","48117",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.3","0.00","12986","20400.00","1G1FY6S04P4144035","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.5","3434.00","29342","19500.00","1G1FY6S04P4144276","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.4","0.00","11010","20600.00","1G1FY6S04P4147887","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.2","0.00","6622","20800.00","1G1FY6S04P4148568","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","4.5","3552.00","16635","20400.00","1G1FY6S06P4156588","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.4","2942.00","23542","19700.00","1G1FY6S08P4129229","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","BLA","BLA","","0.00","35898","18600.00","1G1FY6S09P4129384","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","SIL","BLA","4.5","0.00","11686","20700.00","1G1FY6S04P4148599","AUCTION Manheim PA - F","Manheim","PA","17545",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","3.6","2723.00","26049","19400.00","1G1FY6S06P4152444","AUCTION Manheim Atlanta - T","Atlanta","GA","30349",""
"2023","CHEVROLET","BOLT EUV","LT","GRA","BLA","4.2","0.00","42972","18400.00","1G1FY6S05P4129446","AUCTION Manheim New Jersey - W","Bordentown ","NJ","08505",""
"2023","CHEVROLET","BOLT EUV","LT","WHI","BLA","","0.00","16614","20000.00","1G1FY6S09P4129353","RHP AP DES MOINES","Des Moines","IA","50321",""
